Epoch,Train Loss,Val Loss,Mean IoU,Time (s)
1,0.9890999879155841,0.6891058087348938,0.19187831352383614,122.23128175735474
2,0.5179787661348071,0.521513968706131,0.1922655741371253,128.6918637752533
3,0.32502018766743795,0.33597590029239655,0.1922655741371253,128.65897011756897
4,0.22961996921471187,0.2629837542772293,0.1922655741371253,123.98004150390625
5,0.18037927895784378,0.26881983131170273,0.1922655741371253,117.01326560974121
6,0.15203035516398294,0.2251443788409233,0.19579153330038587,114.82311034202576
7,0.13778053862707956,0.23416555672883987,0.19386711008539093,117.41788482666016
8,0.1237800062767097,0.18550342321395874,0.1922655741371253,111.72354555130005
9,0.11322867178491183,0.18748044967651367,0.1922655741371253,103.77545380592346
10,0.1071596137647118,0.21798744797706604,0.1922655741371253,105.94905948638916
11,0.10032656788825989,0.21318922191858292,0.1922655741371253,102.34503388404846
12,0.0980421272771699,0.21001336723566055,0.1922655741371253,103.52418994903564
13,0.09292410287473883,0.25370950251817703,0.1922655741371253,104.36821103096008
14,0.09382415004074574,0.21405860781669617,0.1922655741371253,99.46047115325928
15,0.09502290295703071,0.2162124440073967,0.1922655741371253,96.25417923927307
16,0.08912426020417895,0.2684369832277298,0.21464234851858163,97.759845495224
17,0.08701049217156001,0.16559262946248055,0.2254283978732338,96.86420178413391
18,0.08148251207811492,0.21072960644960403,0.1922655741371253,96.66296076774597
19,0.07939137225704533,0.20630351454019547,0.19536147314488844,96.5127785205841
20,0.0765512545726129,0.18818411976099014,0.19699301082894144,95.69753289222717
21,0.07361279334872961,0.22610299289226532,0.1922655741371253,96.22762417793274
22,0.07213461798216615,0.24217697232961655,0.1922655741371253,97.42355012893677
23,0.07263249983744961,0.18716640025377274,0.2097715492611794,96.06798672676086
24,0.06448139236973864,0.2379845753312111,0.1922655741371253,96.54145073890686
25,0.06383719641183104,0.19091695174574852,0.2036549710755604,97.18325781822205
26,0.0632120104772704,0.21405529975891113,0.20860591677853538,95.75707912445068
27,0.07099036060805831,0.16488700360059738,0.23850391961521744,389.4992735385895
28,0.06690629811159202,0.20846465975046158,0.1922655741371253,113.64743089675903
29,0.07153990119695663,0.29851554334163666,0.1922655741371253,110.62753653526306
30,0.06054163058953626,0.5456187725067139,0.1630341559343001,110.29624152183533
31,0.06348906896476235,0.1678418070077896,0.2113933946524742,106.74043369293213
32,0.06039588845201901,0.14266013726592064,0.20766424667466743,107.47678208351135
33,0.061367270802812915,0.1279781013727188,0.23239311484146502,108.21393585205078
34,0.05562391384903874,0.18877532333135605,0.2290505629969747,107.46340918540955
35,0.05863791038947446,0.16839202493429184,0.22631370017392127,106.26341915130615
36,0.057890462023871284,0.21978019922971725,0.19992890370756397,107.3895218372345
37,0.05313668679445982,0.1346329152584076,0.23942513154163225,107.02983832359314
38,0.05121575562017305,0.1859910786151886,0.2117106293429142,104.09246349334717
39,0.04674574360251427,0.2284843698143959,0.1962699070612674,97.23691129684448
40,0.04654200601258448,0.2030785232782364,0.24059960304047934,98.4223964214325
41,0.05734468490949699,0.25682705640792847,0.19658157488572275,98.65625953674316
42,0.05392977302627904,0.18384341895580292,0.2261017165823933,100.68897294998169
43,0.0572895369093333,0.3198290020227432,0.1922655741371253,96.76204895973206
44,0.05235630513301918,0.17051886394619942,0.23416434151156046,98.67820596694946
45,0.04326761407511575,0.17142228037118912,0.23786576392816788,96.39822506904602
46,0.0414356691762805,0.2041841819882393,0.22558333573219197,108.3032112121582
47,0.04727449268102646,0.1664605289697647,0.2296931102215564,108.24662613868713
48,0.038477055595389435,0.2364220768213272,0.2168702689169458,106.76023650169373
49,0.0491229881133352,0.41005739569664,0.17897239255020267,106.77221202850342
50,0.05239986069500446,0.2579972669482231,0.1928354363974238,106.29560589790344
